title,season,episode,color_list,subject,air_date,month
Secluded Mountain,12,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'ROCKS', 'TREE', 'TREES']","May 13, 1987",May
Bright Autumn Trees,12,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Midnight Black', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'PATH', 'RIVER', 'TREE', 'TREES']","May 20, 1987",May
Black Seascape,12,5,"['Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'CUMULUS', 'NIGHT', 'OCEAN', 'ROCKS', 'WAVES']","May 27, 1987",May
Steep Mountains,12,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'TREE', 'TREES']","June 3, 1987",June
Quiet Mountains River,12,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","June 10, 1987",June
Evening Waterfall,12,8,"['Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","June 17, 1987",June
Tropical Seascape,12,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CIRRUS', 'CLOUDS', 'OCEAN', 'PALM_TREES', 'WAVES']","June 24, 1987",June
Mountain at Sunset,12,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","July 1, 1987",July
Soft Mountain Glow,12,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","July 8, 1987",July
Mountain in an Oval,12,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'RIVER', 'SUN', 'TREE', 'TREES']","July 15, 1987",July
Winter Mountain,12,13,"['Alizarin Crimson', 'Bright Red', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']","July 22, 1987",July
Rolling Hills,13,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'HILLS', 'LAKE', 'TREE', 'TREES']","September 2, 1987",September
Frozen Solitude,13,2,"['Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","September 9, 1987",September
Meadow Brook,13,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'FRAMED', 'GRASS', 'MOUNTAIN', 'OVAL_FRAME', 'RIVER', 'TREE', 'TREES']","September 16, 1987",September
Evening at Sunset,13,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']","September 23, 1987",September
Mountain View,13,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","September 30, 1987",September
Hidden Creek,13,6,"['Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']","October 7, 1987",October
Peaceful Haven,13,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'PATH', 'RIVER', 'TREE', 'TREES']","October 14, 1987",October
Mountain Exhibition,13,8,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","October 21, 1987",October
Emerald Waters,13,9,"['Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']","October 28, 1987",October
Mountain Summit,13,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","November 4, 1987",November
Cabin Hideaway,13,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","November 11, 1987",November
Oval Essence,13,12,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'FRAMED', 'NIGHT', 'OCEAN', 'OVAL_FRAME', 'ROCKS', 'TREE', 'TREES', 'WAVES']","November 18, 1987",November
Lost Lake,13,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","November 25, 1987",November
Distant Mountains,14,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","December 30, 1987",December
Meadow Brook Surprise,14,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES']","January 6, 1988",January
Mountain Moonlight Oval,14,3,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'NIGHT', 'OVAL_FRAME', 'TREE', 'TREES']","January 13, 1988",January
Snowy Solitude,14,4,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'FENCE', 'SNOW', 'TREE', 'TREES', 'WINTER']","January 20, 1988",January
Mountain River,14,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'FOG', 'FRAMED', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'TOMB_FRAME', 'TREE', 'TREES']","January 27, 1988",January
Graceful Mountains,14,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","February 3, 1988",February
Windy Waves,14,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'CUMULUS', 'GRASS', 'OCEAN', 'PALM_TREES', 'WAVES']","February 10, 1988",February
On a Clear Day,14,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'MOUNTAIN', 'RIVER', 'SNOW', 'SNOWY_MOUNTAIN', 'SUN', 'TREE', 'TREES', 'WINTER']","February 17, 1988",February
Riverside Escape Oval,14,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'PATH', 'RIVER', 'TREE', 'TREES']","February 24, 1988",February
Surprising Falls,14,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'WATERFALL']","March 2, 1988",March
Shadow Pond,14,11,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']","March 9, 1988",March
Misty Forest Oval,14,12,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'FOG', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'TREE', 'TREES']","March 16, 1988",March
Natural Wonder,14,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","March 23, 1988",March
Splendor of Winter,15,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'SNOW', 'SUN', 'TREE', 'TREES', 'WINTER']","April 27, 1988",April
Colors of Nature,15,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']","May 4, 1988",May
Grandpa's Barn,15,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'DECIDUOUS', 'FENCE', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","May 11, 1988",May
Peaceful Reflections,15,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']",[],"May 18, 1988",May
Hidden Winter Moon Oval,15,5,"['Alizarin Crimson', 'Black Gesso', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CIRRUS', 'CLOUDS', 'CONIFER', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","May 25, 1988",May
Waves of Wonder,15,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'CUMULUS', 'OCEAN', 'ROCKS', 'WAVES']","June 1, 1988",June
Cabin by the Pond,15,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']","June 8, 1988",June
Fall Stream,15,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","June 15, 1988",June
Christmas Eve Snow,15,9,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","June 22, 1988",June
Forest Down Oval,15,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'PATH', 'TREE', 'TREES']","June 29, 1988",June
Pathway to Autumn,15,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","July 6, 1988",July
Deep Forest Lake,15,12,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'ROCKS', 'TREE', 'TREES']","July 13, 1988",July
Peaks of Majesty,15,13,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","July 20, 1988",July
Two Seasons,16,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FOG', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","August 17, 1988",August
Nestled Cabin,16,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","August 24, 1988",August
Wintertime Discovery,16,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","August 31, 1988",August
Mountain Mirage Wood Shape,16,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'FOG', 'SNOW', 'TREE', 'TREES', 'WINTER']","September 7, 1988",September
Double Oval Fantasy,16,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DOUBLE_OVAL_FRAME', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","September 14, 1988",September
Contemplative Lady,16,6,['Van Dyke Brown'],"['GUEST', 'PORTRAIT']","September 21, 1988",September
Deep Woods,16,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","September 28, 1988",September
High Tide,16,8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'OCEAN', 'PALM_TREES', 'WAVES']","October 5, 1988",October
Barn in Snow Oval,16,9,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CONIFER', 'FENCE', 'FRAMED', 'OVAL_FRAME', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","October 12, 1988",October
That Time of Year,16,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'DECIDUOUS', 'GUEST', 'HILLS', 'LAKE', 'STEVE_ROSS', 'TREE', 'TREES']","October 19, 1988",October
Waterfall Wonder,16,11,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","October 26, 1988",October
Mighty Mountain Lake,16,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'FLOWERS', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN']","November 2, 1988",November
Wooded Stream Oval,16,13,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'ROCKS', 'TREE', 'TREES']","November 9, 1988",November
Golden Mist Oval,17,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'FOG', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'TREE', 'TREES']","January 4, 1989",January
The Old Home Place,17,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'FENCE', 'GRASS', 'PATH', 'STRUCTURE', 'TREE']","January 11, 1989",January
Soothing Vista,17,3,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","January 18, 1989",January
Stormy Seas,17,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'CUMULUS', 'OCEAN', 'ROCKS', 'SUN', 'WAVES']","January 25, 1989",January
